นิติบุคคลจัดตั้งเดือนมีนาคม  2559,,,,,,,
ทั่วประเทศ,,,,,,,
ลำดับ,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ","รหัส
วัตถุประสงค์",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่
5,0473559000439,หจ.ทองพันล้านการค้า,17/3/2559," 3,000,000 ",41002,ประกอบกิจการรับเหมาก่อสร้างอาคารที่ไม่ใช่ที่พักอาศัย,76 หมู่บ้านดอนดู่ หมู่ที่ 6  ต.ต้นผึ้ง อ.พังโคน จ.สกลนคร 47160
6,0473559000463,หจ.ภูผา บิวดิ้ง เทรด,18/3/2559," 2,000,000 ",41002,ประกอบกิจการรับเหมาก่อสร้างและงานโยธาทุกประเภท,63/2 ถนนบ้านมะขามป้อม  ต.ธาตุเชิงชุม อ.เมืองสกลนคร จ.สกลนคร 47000
7,0473559000528,หจ.ร่มเกษ,31/3/2559," 1,500,000 ",41002,ประกอบกิจการรับเหมาก่อสร้างอาคารที่ไม่ใช่ที่พักอาศัย,184/3 หมู่ที่ 2  ต.กุดบาก อ.กุดบาก จ.สกลนคร 47180
8,0473559000331,หจ.คู่เมือง,1/3/2559," 1,000,000 ",79909,ประกอบกิจการเป็นตัวแทนจำหน่ายตั๋วโดยสารการบินของสายการบินทุกบริษัท,1241/2 ถนนรอบเมือง  ต.ธาตุเชิงชุม อ.เมืองสกลนคร จ.สกลนคร 47000
9,0473559000358,หจ.แสงเพชรก่อสร้างโพนนาแก้ว,2/3/2559," 1,000,000 ",41002,ประกอบกิจการรับเหมาก่อสร้างอาคารที่ไม่ใช่ที่พักอาศัย,159 หมู่บ้านอ้อมแก้ว หมู่ที่ 1  ต.บ้านโพน อ.โพนนาแก้ว จ.สกลนคร 47000
10,0473559000412,หจ.เจริญแบบเหล็กนั่งร้าน บึงกาฬ,14/3/2559," 1,000,000 ",77305,ประกอบกิจการให้เช่าอุปกรณ์ก่อสร้าง,233 หมู่ที่ 4  ต.ห้วยยาง อ.เมืองสกลนคร จ.สกลนคร 47000
11,0475559000112,บจ.เค.พี.เอ็น.ซิสเท็มส์ จำกัด,1/3/2559," 1,000,000 ",46639,ประกอบกิจการจำหน่ายประตูม้วน กันสาด และอุปกรณ์ไฟฟ้าทุกชนิด,105/22 ถนนไอ.ที.ยู  ต.ธาตุเชิงชุม อ.เมืองสกลนคร จ.สกลนคร 47000
12,0475559000139,บจ.โอคูโนะ คอสเมติกส์ จำกัด,18/3/2559," 1,000,000 ",46443,ประกอบกิจการค้าเครื่องสำอาง อุปกรณ์เครื่องมือและเครื่องใช้เสริมความงาม,620/4 ถนนสุขเกษม  ต.ธาตุเชิงชุม อ.เมืองสกลนคร จ.สกลนคร 47000
13,0473559000366,หจ.จิรพรอนันต์ แคร์,4/3/2559," 1,000,000 ",41002,ประกอบกิจการรับเหมาก่อสร้างอาคารที่ไม่ใช่ที่พักอาศัย,94 หมู่ที่ 2  ต.ไร่ อ.พรรณานิคม จ.สกลนคร 47130
14,0473559000404,หจ.น้ำเพชรสกล,11/3/2559," 1,000,000 ",41002,ประกอบกิจการรับเหมาก่อสร้างอาคารที่ไม่ใช่ที่พักอาศัย,172 หมู่บ้านบ้านบะทองใหม่ หมู่ที่ 12  ต.พรรณา อ.พรรณานิคม จ.สกลนคร 47130
15,0473559000455,หจ.บ่อแก้วคอนกรีต,17/3/2559," 1,000,000 ",23959,ผลิตและจำหน่ายปลีกผลิตภัณฑ์คอนกรีต และผลิตภัณฑ์อื่นที่ทำจากคอนกรีตซีเมนต์และปูนปลาสเตอร์,305 หมู่ที่ 5  ต.บ่อแก้ว อ.บ้านม่วง จ.สกลนคร 47140
16,0473559000340,หจ.พรหมศรีชัยเจริญทรัพย์,2/3/2559," 1,000,000 ",41002,ประกอบกิจการรับเหมาก่อสร้างอาคารที่ไม่ใช่ที่พักอาศัย,22 หมู่ที่ 3  ต.หนองลาด อ.วาริชภูมิ จ.สกลนคร 47150
17,0473559000510,หจ.อินทนิลการโยธา,31/3/2559," 1,000,000 ",41002,ประกอบกิจการรับเหมาก่อสร้างอาคารที่ไม่ใช่ที่พักอาศัยและรับทำงานโยธาทุกประเภท,7 หมู่ที่ 4  ต.วาริชภูมิ อ.วาริชภูมิ จ.สกลนคร 47150
18,0473559000391,หจ.รุ่งโรจน์99,10/3/2559," 1,000,000 ",41002,ประกอบกิจการรับเหมาก่อสร้างอาคารที่ไม่ใช่ที่พักอาศัย,132 หมู่ที่ 11  ต.โพนแพง อ.อากาศอำนวย จ.สกลนคร 47170
19,0473559000374,หจ.ซีซี.ยู.เอ็นจิเนียริ่ง,9/3/2559," 1,000,000 ",25111,ประกอบกิจการรับเหมางานโครงสร้างเหล็กทุกชนิด,168 หมู่ที่ 5  ต.พอกน้อย อ.พรรณานิคม จ.สกลนคร 47220
20,0473559000480,หจ.พันธุ์ทรัพย์เพิ่มพูน,25/3/2559," 1,000,000 ",41002,ประกอบกิจการรับเหมาก่อสร้างอาคารที่ไม่ใช่ที่พักอาศัย,64 หมู่ที่ 6  ต.นาหัวบ่อ อ.พรรณานิคม จ.สกลนคร 47220
21,0473559000471,หจ.สุขรมย์ การก่อสร้าง,22/3/2559," 1,000,000 ",41002,รับเหมาก่อสร้างทุกชนิด,30 หมู่ที่ 17  ต.แพด อ.คำตากล้า จ.สกลนคร 47250
22,0473559000501,หจ.ภูวรรณเดชา ก่อสร้าง,30/3/2559," 500,000 ",41002,ประกอบกิจการรับเหมาก่อสร้างอาคารที่ไม่ใช่ที่พักอาศัย,129/7 ถนนใสสว่าง  ต.ธาตุเชิงชุม อ.เมืองสกลนคร จ.สกลนคร 47000
23,0473559000447,หจ.นครสกล การเกษตร,17/3/2559," 200,000 ",46205,จำหน่ายต้นไม้ เมล็ดพันธุ์ และสินค้าทางการเกษตร,1694/9 ถนนคูเมือง  ต.ธาตุเชิงชุม อ.เมืองสกลนคร จ.สกลนคร 47000
24,0473559000498,หจ.เอกการบัญชีและภาษีอากร,29/3/2559," 100,000 ",69200,ประกอบกิจการบริการรับทำบัญชีและตรวจบัญชี ให้คำปรึกษาด้านบัญชีและภาษีอากร,389 หมู่ที่ 5  ต.ธาตุนาเวง อ.เมืองสกลนคร จ.สกลนคร 47000
1,0485559000171,บจ.เพชร์ศิลาเทรดดิ้ง จำกัด,15/3/2559," 5,000,000 ",46639,จำหน่ายวัสดุก่อสร้างทุกชนิด,245 หมู่ที่ 11  ต.บ้านแพง อ.บ้านแพง จ.นครพนม 48140
2,0483559000340,หจ.แอล ซี นครพนม,15/3/2559," 3,100,000 ",46631,จำหน่าย ดิน หิน กรวด ทราย เหล็ก ปูน ไม้,193 หมู่ที่ 14  ต.ท่าค้อ อ.เมืองนครพนม จ.นครพนม 48000
3,0485559000201,บจ.เอ็มจี รวมกิจ จำกัด,30/3/2559," 3,000,000 ",45101,จำหน่ายรถยนต์ วัสดุอุปกรณ์ตกแต่ง อะไหล่ทุกชนิดพร้อมบริการหลังการขาย,75 ถนนนิตโย  ต.ในเมือง อ.เมืองนครพนม จ.นครพนม 48000
4,0483559000382,หจ.ทรัพย์เพิ่มพูล โลจิสติกส์,21/3/2559," 2,000,000 ",49323,ขนส่งและขนถ่ายสินค้า ทั้งทางบก ทางน้ำ ทางอากาศ ทั้งภายในและระหว่างประเทศ,142 หมู่ที่ 6  ต.นาทราย อ.เมืองนครพนม จ.นครพนม 48000
5,0485559000163,บจ.เอแอนด์พี คอนเน็คชั่นส์ จำกัด,14/3/2559," 2,000,000 ",46103,นำเข้าและส่งออกเครื่องมือทางการแพทย์ประเภทใช้แล้วทิ้ง รวมทั้งอุปกรณ์เครื่องมือ,"31,33,35 ถนนพินิจรังสรรค์  ต.ในเมือง อ.เมืองนครพนม จ.นครพนม 48000"
6,0485559000155,บจ.บอมแอนด์บู หลังคาเหล็กเมทัลชีท จำกัด,9/3/2559," 2,000,000 ",23961,ผลิตและจำหน่ายแผ่นหลังคาเหล็กรีดลอนเคลือบอะลูซิงค์กันสนิม รวมทั้งวัสดุและอุปกรณ์ที่เกี่ยวข้อง,110 หมู่ที่ 9  ต.หนองแวง อ.บ้านแพง จ.นครพนม 48140
